"","connectedness_level","tot_tags","tot_comments","tot_reactions","totcommon_sharedInterests","sharedBeliefs-religion","sharedBeliefs-causes_you_care_about","sharedBeliefs-cultural_background","sharedBeliefs-politics","sharedActivities-activism","sharedActivities-business","sharedActivities-event_attendance","sharedActivities-going_out","sharedActivities-sports_outdoor","sharedActivities-work_study","sameInstitution-coworker","sameInstitution-same_other_institution","sameInstitution-same_school","sameInstitution-same_university","commonPlace-live_same_city","commonPlace-live_together","commonPlace-same_hometown","is_male","friend_same_gender"
"1",2,3,1,8,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,FALSE,FALSE
"2",1,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"3",1,0,0,33,4,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,FALSE,TRUE
"4",1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"5",1,1,6,7,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,FALSE,FALSE
"6",1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE
"7",1,0,0,13,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"8",1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,FALSE
"9",1,0,0,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"10",1,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"11",2,0,2,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,FALSE,TRUE
"12",5,0,1,9,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,FALSE,FALSE
"13",4,0,5,13,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"14",2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"15",2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"16",1,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"17",1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,FALSE
"18",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"19",1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"20",2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"21",3,1,3,27,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"22",3,0,2,51,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"23",2,0,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"24",4,0,0,30,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"25",7,2,7,73,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,FALSE,TRUE
"26",4,1,0,18,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"27",2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"28",2,0,2,9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"29",2,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"30",2,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE
"31",3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"32",4,1,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"33",2,1,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE
"34",2,1,10,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,FALSE,TRUE
"35",4,2,7,13,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,FALSE,FALSE
"36",1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,FALSE,FALSE
"37",1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,TRUE
"38",1,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,TRUE
"39",3,3,32,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"40",1,2,10,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"41",4,0,5,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
"42",2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,TRUE,FALSE
"43",4,0,1,18,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,TRUE,FALSE
"44",5,0,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"45",2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,TRUE,FALSE
"46",2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,TRUE,FALSE
"47",6,6,3,32,3,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,TRUE,FALSE
"48",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"49",2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,TRUE,FALSE
"50",6,0,6,7,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,TRUE,FALSE
"51",2,0,7,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"52",7,11,17,129,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"53",2,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,TRUE
"54",1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,TRUE
"55",1,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"56",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"57",1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"58",1,3,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"59",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"60",1,4,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"61",7,0,2,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,TRUE
"62",5,0,1,14,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"63",6,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"64",5,0,1,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"65",7,3,11,12,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,FALSE,TRUE
"66",4,0,0,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"67",6,3,0,25,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"68",4,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"69",5,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"70",6,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"71",6,0,6,30,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"72",4,0,15,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"73",7,1,3,20,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"74",7,4,12,84,6,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"75",4,0,5,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
