"","connectedness_level","tot_tags","tot_comments","tot_reactions","totcommon_sharedInterests","sharedBeliefs-religion","sharedBeliefs-causes_you_care_about","sharedBeliefs-cultural_background","sharedBeliefs-politics","sharedActivities-activism","sharedActivities-business","sharedActivities-event_attendance","sharedActivities-going_out","sharedActivities-sports_outdoor","sharedActivities-work_study","sameInstitution-coworker","sameInstitution-same_other_institution","sameInstitution-same_school","sameInstitution-same_university","commonPlace-live_same_city","commonPlace-live_together","commonPlace-same_hometown","is_male","friend_same_gender"
"1526",2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1527",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,TRUE
"1528",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1529",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1530",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1531",3,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,FALSE,TRUE
"1532",2,0,1,41,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1533",7,18,4,31,9,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,FALSE,TRUE
"1534",3,0,0,5,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,FALSE,FALSE
"1535",2,0,2,63,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,FALSE,TRUE
"1536",2,0,3,17,5,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,FALSE,TRUE
"1537",4,0,1,106,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE
"1538",7,2,1,14,7,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,FALSE,TRUE
"1539",1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1540",3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,FALSE,TRUE
"1541",3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE
"1542",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1543",3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1544",3,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,FALSE,TRUE
"1545",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1546",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,FALSE
"1547",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1548",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1549",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,TRUE
"1550",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"1551",3,6,10,152,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1552",2,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,FALSE,TRUE
"1553",2,0,24,163,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1554",3,0,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1555",1,0,26,80,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"1556",2,1,8,79,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"1557",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1558",5,0,9,44,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1559",2,0,10,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1560",2,2,2,62,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE
"1561",4,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,FALSE,FALSE
"1562",5,0,6,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1563",5,0,12,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"1564",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1565",5,0,0,8,3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,TRUE
"1566",1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1567",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1568",5,0,2,62,3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,FALSE,TRUE
"1569",5,0,2,13,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1570",1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"1571",1,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE
"1572",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"1573",2,3,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1574",1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"1575",2,0,1,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1576",1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"1577",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1578",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE
"1579",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1580",1,0,1,43,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"1581",4,1,4,19,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1582",2,0,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1583",2,0,2,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"1584",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1585",2,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"1586",1,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,FALSE
"1587",1,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE
"1588",1,0,5,26,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE
"1589",1,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1590",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1591",2,0,0,13,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,FALSE,TRUE
